yig=num (adj), 1g=one
den=n, m=stump
uncoy=n, n=plant~vegetation
lethfo=n, n=bush~shrub
banltho=n, n=grass
yu=n, n=beech (Fagus engleriana)
uga=n, n=birch
la=n, n=oak
vu=n, n=pine
uy=n, n=spruce (particularly Picea crassifolia and Picea retroflexa)
thethe=n, n=forest
wakh=det (adj); pron, 1kh=what/who/which (relative)
mithin=num, =hundred
vinthin=num, =thousand
nathin=num, =ten thousand
thun=v, 4=count
-ud=n; suff, f=-ia, -land; country suffix; added to the plural demonym, also, used for the language
alan=n, m=an Eremoran
vaz=n, f=middle, center
vazunk=adj, 1k=middle, center, central; Vazuk (demonym)
Važcud=n; proper, f=Važcud (the country/language)
yemin=n, m=lightning
phenv=n, m=thunder
saku=v, 2=fly
bam=v, 4=run
cešku=v, 2=swim
sokhu=v, 1=walk
pegu=v, 3=hear~listen
ogu=v, 3=smell
nam=n, m=air
gath=n, f=earth
le=n, n=fire
daž=n, f=stone
mun=n, m=water
ofem=n, m=sky
inb=n, m=weather
kha=n, n=sun
ne=n, n=moon
se'anf=n, m=rain
ens=n, m=cloud
vins=n, m=snow
zan=n, m=wind
ag=n, m=ice
silme=n, n=star
en=n, m=fog
then'=n, m=hail
eseth=n, f=time
gec=n, f=daytime
daychak=n, f=nighttime
cef=n, f=morning
ankh=n, f=noon
sankh=n, f=afternoon
zab=n, f=evening
in=n, m=night (=entire night)
nenf=n, m=day (=entire day)
lem=n, m=week
nen=n, m=year
enthant=n, m=brook~creek~stream
o'es=n, f=island
okh=n, m=lake
nik=n, f=mountain
ked=n, f=path~road~way
edop=n, f=place
int=n, m=river
osenkh=n, m=sea~ocean
thoin=n, m=source~spring~well
sonji=n, n=ash
yene=n, n=dust
zi=n, n=salt
aluga=n, n=sand
tha=n, n=smoke
ze'=n, f=daughter
onth=n, m=son
cek=n, f=mother
izak=n, m=father, paternal uncle
yav=n, f=wife
sonkh=n, m=husband
iphad=n, f=older sister/older paternal uncle's daughter
onb=n, m=older brother/older paternal uncle's daughter
ginchas=n, f=younger sister/younger paternal uncle's daughter
teng=n, m=younger brother/ younger paternal uncle's daughter
noekh=n, f=(female) cross-cousin
polink=n, m=(male) cross-cousin
phag=n, f=aunt
enk=n, m=maternal uncle
-nikh=n, m/f=in law (relation through marriage); step-
kunceš=adv, =reciporically (used in place of each other)
sote=n, n=beaver
niph=n, f=name
ble=conj, =or
mas=conj, =but
šitho=adv, =also, too
e=adposition, =to, towards
ze=adposition, =from
imphera=n, n=lemon
phijas=n, f=sheep
pagu=v, 3=write
pagubu=n, n=symbol; letter; writing
paku=v, 2=lie; lay
zese=n, n=tile
o'uk=adj/det, 1k=his/her/its own - reflexive determiner
ojo=n, n=animal
enzna=n, n=book
-vaz=adv;suff., =in the middle of ...; while ...ing; during ...
ey=interjection, =hey! oy!
insa=n, n=table
elgo=n, n=chair
elgu=v, 1=sit
gons=n, m=pole; long/tall thing
iv=n, f=ball; sphere; round thing
zilzo=n, n=plane; flat thing
bong=n, f=home
supku=v, 2=fall
intek=adj, 1k=tall
khig=adj, 1g=high
lenž=adj, 2ž=long
kind=adj, 2d=wide
nons=adj, 2s=deep
sagu=v, 3=love
Sagub=n, f=female name
manik=adj, 1k=wise
ilak=adj, 1k=happy
Egas=n, f=female name
Nit=n, f=female name
Folel=n, f=female name
Lidunon=n, m=male name
zoth=n, f=bee
ceng=n, m=ghost (esp. wraith)
zothceng=n, m=Zothcengs - large, dangerous, semiintelligent beasts
wens=n, m=red/yellow; masculine gender; vaguely similar to "yang"
ut=n, f=blue/grue; feminine gender; vaguely similar to "yin"
Wensceng=n; proper, m=Male creator deity
Utceng=n; proper, f=Female creator deity
zo-=pref., =un-/in-; anti-
no=n, n=copper; copper alloy (eg. bronze, brass)
zinzo=n, n=silver
enjo=n, n=gold
sinku=v, 2=spell
-um=v; suff, 4=strengthens/reinforces meaning of verb, cf. English "up" or "over"
-ar=v; suff, 4=diminutive verbal suffix
megu=v, 3=sting
meguar=v, 4=tingle
meguarakhu=n, n=parasitic worm similar to the Werm from Parasite Infection
-wu=suff, =turns correlative roots into how-words
-'uk=adj; n; suff, 1k=turns correlative roots into how much-words
-wenz=adj; n; suff, 2z=turns correlative roots into whether-words; turns wh-words into other-words
-ažu=n; suff, n=-er; agentive suffix
ich=n, f=house
ont=adj, 2t=right, correct
antme=n, n=door
chan=n, m=mister, sir
absakhu=v, 1=knock
soj=v, 4=say; speak
pann=adj; n, m=young; a youth
anj=adj; n, m=old; an elder
go'=v, 4=know
fanyenkhu=v, 1=open
zann=n, m=friend
sela=n, n=window
nimo=n, n=roof
zetho=n, n=bed
cimi=n, n=stove
intha=n, n=oven
enlinkh=adj, 1kh=cooked food smell
zinkh=adj, 1kh=smoky smell
ink=adj, 1k=flowery, fruity smell
venž=adj, 2ž=earthy, stony, metallic smell
inons=adj, 2s=sulfurous, garlic-like smell
anl=adj, 2l=foul, fecal smell, skunk smell, etc
ekkinž=adj, 2ž=nutty or dusty smell
niknik=n, f=mountain range
Penek=n, f=Pankair
-fo=adv;suff=forms the why-series of correlatives;!thefo = so, thus
o'=conj=that (general-purpose subordinating conjunction)
esokhu=v, 1=approach, attempt, try;!e + sokhu
lessoj=v, 4=curse, maledict;!lens + soj
pag=adj;num, 1g=half
šema=n, n=grain
